Trajectories,Average Score,Median Score,Std Dev Score,Highest Score,Average Connections,Median Connections,Std Dev Connections,Fully Connected Iteration
4,2931.0514285714285,3084.0714285714284,1183.8739964185033,5592.571428571429,10.37,11.0,3.571148274715011,0.0
5,3353.4585714285718,3595.857142857143,1284.3515909204923,5698.714285714286,12.1,13.0,3.9331920878594273,0.0
6,3690.5757142857137,4069.642857142857,1467.645625977545,6924.285714285714,13.55,15.0,4.548351349665063,0.0
7,4121.998571428571,4482.357142857142,1448.7228607089821,6377.142857142857,15.32,16.5,4.575762231585028,0.0
Average,3524.2710714285713,3807.982142857142,1346.1485185063807,6148.178571428571,12.834999999999999,13.875,4.157113485956133,0.0
